2025-11-02 22:14:09.238 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 23:06:33.551 | ERROR    | main:main:224 | DataType mismatch for customer_address column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 23:06:33.557 | ERROR    | main:main:224 | DataType mismatch for store_id column in ['sales_data.csv'] : Expected: string vs Actual: int
2025-11-02 23:06:33.565 | ERROR    | main:main:224 | DataType mismatch for sales_person_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:06:33.565 | ERROR    | main:main:224 | DataType mismatch for product_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:06:33.565 | ERROR    | main:main:224 | DataType mismatch for sales_date column in ['sales_data.csv'] : Expected: date vs Actual: string
2025-11-02 23:06:33.581 | ERROR    | main:main:224 | DataType mismatch for price column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 23:06:33.590 | ERROR    | main:main:224 | DataType mismatch for quantity column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:06:33.590 | ERROR    | main:main:224 | DataType mismatch for total_cost column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 23:06:33.597 | INFO     | main:main:230 | Enforcing Correct DataType...
2025-11-02 23:06:35.053 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 23:09:48.135 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 23:09:48.144 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 23:09:48.144 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 23:09:48.144 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 23:09:49.147 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 23:09:49.148 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 23:09:57.721 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 23:09:57.721 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 23:10:06.407 | INFO     | main:main:142 | Expected data columns: {'customer_address', 'product_name', 'sales_person_id', 'product_id', 'sales_person_name', 'price', 'customer_id', 'sales_date', 'store_id', 'total_cost', 'customer_name', 'quantity'}
2025-11-02 23:10:06.407 | INFO     | main:main:143 | Actual data columns: {'product_name', 'payment_method', 'sales_person_id', 'sales_person_name', 'region', 'price', 'customer_id', 'sales_date', 'store_id', 'total_cost', 'discount_code', 'quantity'}
2025-11-02 23:10:06.407 | INFO     | main:main:144 | Required data columns: {'product_name', 'sales_person_id', 'price', 'customer_id', 'sales_date', 'store_id', 'total_cost', 'quantity'}
2025-11-02 23:10:06.436 | INFO     | main:main:180 | Missing columns added
2025-11-02 23:10:07.282 | ERROR    | main:main:224 | DataType mismatch for customer_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:10:07.283 | ERROR    | main:main:224 | DataType mismatch for customer_name column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 23:10:07.295 | ERROR    | main:main:224 | DataType mismatch for customer_address column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 23:10:07.301 | ERROR    | main:main:224 | DataType mismatch for store_id column in ['sales_data.csv'] : Expected: string vs Actual: int
2025-11-02 23:10:07.308 | ERROR    | main:main:224 | DataType mismatch for sales_person_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:10:07.308 | ERROR    | main:main:224 | DataType mismatch for product_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:10:07.308 | ERROR    | main:main:224 | DataType mismatch for sales_date column in ['sales_data.csv'] : Expected: date vs Actual: string
2025-11-02 23:10:07.322 | ERROR    | main:main:224 | DataType mismatch for price column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 23:10:07.333 | ERROR    | main:main:224 | DataType mismatch for quantity column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:10:07.333 | ERROR    | main:main:224 | DataType mismatch for total_cost column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 23:10:07.342 | INFO     | main:main:230 | Enforcing Correct DataType...
2025-11-02 23:10:08.743 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 23:12:10.861 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 23:12:10.874 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 23:12:10.875 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 23:12:10.875 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 23:12:11.869 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 23:12:11.870 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 23:12:20.800 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 23:12:20.800 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 23:12:29.498 | INFO     | main:main:142 | Expected data columns: {'store_id', 'total_cost', 'sales_date', 'customer_address', 'customer_id', 'quantity', 'product_id', 'sales_person_name', 'customer_name', 'sales_person_id', 'product_name', 'price'}
2025-11-02 23:12:29.499 | INFO     | main:main:143 | Actual data columns: {'store_id', 'region', 'discount_code', 'total_cost', 'sales_date', 'customer_id', 'quantity', 'payment_method', 'sales_person_name', 'sales_person_id', 'product_name', 'price'}
2025-11-02 23:12:29.499 | INFO     | main:main:144 | Required data columns: {'store_id', 'total_cost', 'sales_date', 'customer_id', 'quantity', 'sales_person_id', 'product_name', 'price'}
2025-11-02 23:12:29.528 | INFO     | main:main:180 | Missing columns added
2025-11-02 23:12:30.393 | ERROR    | main:main:224 | DataType mismatch for customer_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:12:30.394 | ERROR    | main:main:224 | DataType mismatch for customer_name column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 23:12:30.407 | ERROR    | main:main:224 | DataType mismatch for customer_address column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 23:12:30.414 | ERROR    | main:main:224 | DataType mismatch for store_id column in ['sales_data.csv'] : Expected: string vs Actual: int
2025-11-02 23:12:30.421 | ERROR    | main:main:224 | DataType mismatch for sales_person_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:12:30.421 | ERROR    | main:main:224 | DataType mismatch for product_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:12:30.421 | ERROR    | main:main:224 | DataType mismatch for price column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 23:12:30.428 | ERROR    | main:main:224 | DataType mismatch for quantity column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:12:30.429 | ERROR    | main:main:224 | DataType mismatch for total_cost column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 23:12:30.435 | INFO     | main:main:230 | Enforcing Correct DataType...
2025-11-02 23:12:31.800 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 23:29:28.477 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 23:29:28.486 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 23:29:28.486 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 23:29:28.486 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 23:29:29.521 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 23:29:29.522 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 23:29:38.146 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 23:29:38.146 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 23:29:47.043 | INFO     | main:main:142 | Expected data columns: {'total_cost', 'product_name', 'sales_person_name', 'product_id', 'customer_name', 'customer_address', 'sales_date', 'store_id', 'quantity', 'price', 'customer_id', 'sales_person_id'}
2025-11-02 23:29:47.043 | INFO     | main:main:143 | Actual data columns: {'discount_code', 'total_cost', 'product_name', 'sales_person_name', 'sales_date', 'payment_method', 'store_id', 'quantity', 'price', 'customer_id', 'sales_person_id', 'region'}
2025-11-02 23:29:47.043 | INFO     | main:main:144 | Required data columns: {'total_cost', 'product_name', 'sales_date', 'store_id', 'quantity', 'price', 'customer_id', 'sales_person_id'}
2025-11-02 23:29:47.072 | INFO     | main:main:180 | Missing columns added
2025-11-02 23:29:47.915 | ERROR    | main:main:224 | DataType mismatch for customer_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:29:47.915 | ERROR    | main:main:224 | DataType mismatch for customer_name column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 23:29:47.929 | ERROR    | main:main:224 | DataType mismatch for customer_address column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 23:29:47.937 | ERROR    | main:main:224 | DataType mismatch for store_id column in ['sales_data.csv'] : Expected: string vs Actual: int
2025-11-02 23:29:47.948 | ERROR    | main:main:224 | DataType mismatch for sales_person_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:29:47.948 | ERROR    | main:main:224 | DataType mismatch for product_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:29:47.948 | ERROR    | main:main:224 | DataType mismatch for price column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 23:29:47.958 | ERROR    | main:main:224 | DataType mismatch for quantity column in ['sales_data.csv'] : Expected: integer vs Actual: int
